dataset_folder,transcript_path,media_stem,audio_match_count,audio_path
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S160.cha,S160,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S161.cha,S161,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S162.cha,S162,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S163.cha,S163,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S164.cha,S164,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S165.cha,S165,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S166.cha,S166,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S167.cha,S167,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S168.cha,S168,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S169.cha,S169,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S170.cha,S170,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S171.cha,S171,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S172.cha,S172,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S173.cha,S173,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S174.cha,S174,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S175.cha,S175,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S176.cha,S176,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S177.cha,S177,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S178.cha,S178,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S179.cha,S179,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S180.cha,S180,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S181.cha,S181,0,
ADReSS_IS2020_test,C:\Users\dhruv\Documents\06 Coding\MultiConAD\data\English\ADReSS_IS2020_test\S182.cha,S182,0,
